index;Heure;Minute;Seconde;D_Lat;D_Lon;Quality;X;Y;perX;perY;pixX;pixY;Ah;V;A;S;D;Deg;RPM
14286;8;58;43;43,7703816666667;-0,039784;1;-3194,51536276216;4867044,37862934;0,762581213070322;0,446781389420601;715,301177859962;371,27533460852;0,7393;32,65;0,21;0;0;24,4;0
14296;8;58;44;43,7703448333333;-0,0398545;1;-3200,1762649609;4867040,28294954;0,7600844910419;0,450924155512799;712,959252597302;374,717973231136;0,7394;32,64;0,21;0;0;24,4;0
14306;8;58;45;43,7703195;-0,0399346666666667;1;-3206,6133665155;4867037,4660114;0,757245428877193;0,453773478799154;710,296212286807;377,085760882097;0,7394;32,64;0,21;0;0;24,4;0
14316;8;58;46;43,7703073333333;-0,040018;1;-3213,30474027288;4867036,11313979;0,754294220805772;0,455141903797759;707,527979115814;378,222922055938;0,7395;32,65;0,21;0;0;24,4;0
14326;8;58;47;43,7703063333333;-0,0400973333333333;1;-3219,6749280899;4867036,00194486;0,751484670721779;0,455254377085961;704,892621137029;378,316387358433;0,7395;32,64;0,21;0;0;24,4;0
14336;8;58;48;43,7703115;-0,0401696666666667;1;-3225,48304051131;4867036,57645199;0,748923022115785;0,454673265100058;702,489794744607;377,833483298148;0,7396;32,65;0,22;0;0;24,4;0
14346;8;58;49;43,7703391666667;-0,0402331666666667;1;-3230,58186731443;4867039,65284496;0,746674201565363;0,451561504142802;700,38040106831;375,247609942669;0,7396;32,65;0,21;0;0;24,4;0
14356;8;58;50;43,7703895;-0,0402893333333333;1;-3235,0918532269;4867045,24965626;0,744685087325225;0,445900348668358;698,514611911061;370,543189743406;0,7397;32,65;0,21;0;0;24,4;0
14366;8;58;51;43,7704395;-0,0403383333333333;1;-3239,02638099624;4867050,8094026;0,742949776979229;0,440276684287469;696,886890806517;365,869924642887;0,7398;32,65;0,21;0;0;24,4;0
14376;8;58;52;43,7704886666667;-0,0403843333333333;1;-3242,72001931031;4867056,27648649;0,741320710123805;0,434746747647063;695,358826096129;361,274547294709;0,7398;32,65;0,21;0;0;24,4;0
14386;8;58;53;43,7705351666667;-0,0404311666666667;1;-3246,48057136196;4867061,44705058;0,739662131187666;0,42951673977488;693,803079054031;356,928410752925;0,7399;32,65;0,21;0;0;24,3;0
14396;8;58;54;43,7705808333333;-0,0404768333333333;1;-3250,147444181;4867066,52495223;0,738044869164528;0,424380459640354;692,286087276327;352,660161961134;0,7399;32,65;0,22;0;0;24,3;0
14406;8;58;55;43,7706266666667;-0,040522;1;-3253,7741687575;4867071,62138637;0,736445314389817;0,419225433959992;690,785704897649;348,376335620753;0,74;32,65;0,22;0;0;24,3;0
14416;8;58;56;43,7706721666667;-0,0405666666666667;1;-3257,36074509145;4867076,68075553;0,734863466863536;0,414107899375069;689,301931917997;344,123664380682;0,74;32,65;0,21;0;0;24,4;0
14426;8;58;57;43,7707185;-0,0406106666666667;1;-3260,89379043535;4867081,83278713;0,733305229001825;0,408896637048722;687,840304803712;339,793105387488;0,7401;32,65;0,21;0;0;24,4;0
14436;8;58;58;43,7707643333333;-0,0406546666666667;1;-3264,42683577924;4867086,92922127;0,731746991140115;0,403741611367418;686,378677689428;335,509279046324;0,7401;32,65;0,21;0;0;24,3;0
14446;8;58;59;43,7708088333333;-0,0406971666666667;1;-3267,83943639551;4867091,8773955;0,730241875023691;0,398736550069755;684,966878772222;331,350073107966;0,7402;32,65;0,21;0;0;24,3;0
14456;8;59;0;43,7708526666667;-0,0407386666666667;1;-3271,17174052668;4867096,75143979;0,728772173404123;0,393806470962971;683,588298653067;327,253177370229;0,7403;32,65;0,21;0;0;24,4;0
14466;8;59;1;43,7708966666667;-0,0407796666666667;1;-3274,46389641531;4867101,64401656;0,727320179032984;0,388857646309409;682,226327932938;323,140704083118;0,7403;32,65;0,21;0;0;24,4;0
14476;8;59;2;43,7709428333333;-0,0408233333333333;1;-3277,97017626418;4867106,77751567;0,725773746003559;0,383665129531723;680,775773751339;318,825722640862;0,7437;32,04;16,66;0;0;24,8;0
14486;8;59;3;43,7709916666667;-0,040871;1;-3281,7976420534;4867112,20753459;0,724085654986706;0,378172683986756;679,192344377531;314,261500392994;0,7487;31,93;18,8;0;0;24,6;0
14496;8;59;4;43,7710438333333;-0,0409211666666667;1;-3285,82584905534;4867118,00820326;0,722309027727711;0,372305327485512;677,525868008593;309,38572714046;0,7541;31,76;19,49;0;0;24,7;0
14506;8;59;5;43,771096;-0,0409743333333333;1;-3290,09494551255;4867123,80887194;0,720426156978144;0,366437970981441;675,759735245499;304,509953885578;0,7589;31,65;20,9;0;0;25;0
14516;8;59;6;43,7711521666667;-0,0410293333333333;1;-3294,51125219241;4867130,05432032;0,718478359651006;0,360120721328332;673,932701352644;299,260319423844;0,7648;31,65;20,9;0;0;25;0
14526;8;59;7;43,7712095;-0,0410893333333333;1;-3299,32904129773;4867136,42949611;0,716353489839583;0,353672252840243;671,939573469529;293,901642110242;0,7709;31,62;21,35;0;0;24,9;0
14536;8;59;8;43,7712675;-0,0411526666666667;1;-3304,41448535333;4867142,87880186;0,714110571705303;0,347148802159391;669,835716259575;288,480654594454;0,7764;31,67;19,27;0;0;24,9;0
14546;8;59;9;43,7713245;-0,0412191666666667;1;-3309,75420161172;4867149,21691268;0,711755507664309;0,340737824766742;667,626666189122;283,153132381162;0,7809;31,84;14,36;0;0;24,8;0
14556;8;59;10;43,7713816666667;-0,0412886666666667;1;-3315,33480732537;4867155,57355598;0,709294200132744;0,334308101826372;665,317959724514;277,810032617715;0,7835;32,23;5,4;0;0;24,6;0
14566;8;59;11;43,7714371666667;-0,0413583333333333;1;-3320,92879578654;4867161,74487441;0,706826990185036;0,328065834365084;663,003716793564;272,622708357384;0,7844;32,49;0,22;0;0;24,4;0
14576;8;59;12;43,7714915;-0,0414268333333333;1;-3326,42910501511;4867167,78646543;0,704401097150328;0,321954785738774;660,728229127008;267,544426948921;0,7844;32,49;0,21;0;0;24,4;0
14586;8;59;13;43,7715448333333;-0,0414946666666667;1;-3331,87588325361;4867173,71686151;0,701998813780192;0,315956210400666;658,47488732582;262,559610842954;0,7845;32,5;0,21;0;0;24,4;0
14596;8;59;14;43,7715971666667;-0,0415621666666667;1;-3337,29589599709;4867179,53606267;0,699608335242341;0,310070108349819;656,232618457315;257,668260038699;0,7845;32,5;0,21;0;0;24,4;0
14606;8;59;15;43,7716485;-0,0416296666666667;1;-3342,71590874056;4867185,24406891;0,697217856704489;0,30429647958623;653,990349588811;252,870374536158;0,7846;32,51;0,21;0;0;24,4;0
14616;8;59;16;43,771699;-0,0416958333333333;1;-3348,02885950392;4867190,8594127;0,694874597495781;0,298616578563125;651,792372451043;248,150376785957;0,7846;32,53;0,22;0;0;24,4;0
14626;8;59;17;43,7717486666667;-0,0417606666666667;1;-3353,23474828716;4867196,38209406;0,692578557616215;0,293030405279559;649,63868704401;243,508266787314;0,7847;32,55;0,21;0;0;24,3;0
14636;8;59;18;43,7717975;-0,0418256666666667;1;-3358,45401981791;4867201,81211298;0,690276615320507;0,287537959734592;647,479465170636;238,944044539446;0,7847;32,57;0,21;0;0;24,4;0
14646;8;59;19;43,7718448333333;-0,0418918333333333;1;-3363,76697058127;4867207,07533951;0,687933356111799;0,282214224122869;645,281488032867;234,520020246104;0,7848;32,59;0,21;0;0;24,4;0
14656;8;59;20;43,771891;-0,0419561666666667;1;-3368,93271112197;4867212,20883862;0,685655023480662;0,277021707346125;643,144412024861;230,20503880463;0,7849;32,6;0,21;0;0;24,4;0
14666;8;59;21;43,7719375;-0,0420186666666667;1;-3373,95124144;4867217,37940271;0,683441617427096;0,271791699472059;641,068237146616;225,858902261281;0,7849;32,6;0,21;0;0;24,4;0
